,section-0-question-0,section-0-question-1,section-0-question-2,section-0-question-3,section-0-question-4,section-0-question-5,section-0-question-6,section-0-question-7,section-0-question-8,section-0-question-9,section-0-question-10,section-1-question-0,section-0-question-11,section-1-question-1,section-0-question-12,section-1-question-2,section-0-question-13,section-1-question-3,section-1-question-4,section-1-question-5,section-1-question-6,section-1-question-7,section-1-question-8,section-1-question-9,section-2-question-0,section-2-question-1,section-2-question-2,section-2-question-3,section-2-question-4,section-2-question-5,section-2-question-6,section-2-question-7,section-2-question-8,section-1-question-10,section-1-question-11,uid,sid,control,transitionType,interfaceID
31,5,3,4,4,3,4,1,3,3,1,5,Strongly agree,7,Strongly agree,7,Strongly agree,1,I think the interface is already very intuitive.,Strongly agree,I think control of the robot hand is fast enough.,Strongly disagree,Strongly agree,I think the interface is already good at minimizing errors.,Neither agree/nor disagree,24,Female,"Everyday, during a majority of business hours","Everyday, less than an hour",Action games,A mouse,,Mouse buttons,,,,pLLZgRjFrpUqK9KzWmPskkLoiHF2,-MKuzzpjJNjRlv8HdNkH,panel,press/release,panel-press/release
32,7,7,7,7,7,7,7,6,5,5,7,Somewhat disagree,1,Neither agree/nor disagree,2,Neither agree/nor disagree,6,faster and smoothly,Strongly disagree,not sure,Strongly disagree,Neither agree/nor disagree,change the color of the robots and object,Neither agree/nor disagree,36,Female,"Everyday, during a majority of business hours",Rarely,,A mouse,,Mouse buttons,,,,CoIBIWDldBPxi23HLclw9EtxFIl2,-MKx-u5h8zRwSioTtgsd,target,click,target-click
33,6,6,6,6,7,6,6,4,2,2,7,Somewhat agree,3,Somewhat agree,2,Somewhat agree,6,try not to let the arm start moving wildly when it is in a position that is invalid.,Somewhat agree,faster movement when you are rotating. it should give a warning that you are moving the arm in an invalid position.,Somewhat agree,Somewhat agree,allow undo moves not just a full reset when you get stuck. try to keep the arm from moving all over the place when it is not in an acceptable position.,Somewhat agree,34,Male,"Everyday, during a majority of business hours","Everyday, a few hours","FPS, puzzle games, RTS, minecraft.",A mouse,it is a gaming mouse that can change the dpi to move the cursor faster or slower.,Mouse buttons,gaming mouse with extra buttons on side that can be programmed to do other things,make the controls bigger. allow keyboard to also let the robots movement happen.,allow us to change the camera position without moving the arm  in another screen.,1WlXn4Ar0RNVVuONT79XQ6XtNrp2,-MKrQiWEmJbJb-PLQlk4,panel,press/release,panel-press/release
34,6,6,6,2,2,5,6,4,2,2,7,Somewhat agree,1,Neither agree/nor disagree,3,Somewhat agree,6,clearer camera angle and object that needs to be held onto ,Neither agree/nor disagree,seem clunky not sure how obscure could make the arm bend.,Somewhat agree,Somewhat agree,restrict movement instead of letting it flay around everywhere.,Somewhat agree,35,Male,"Everyday, during a majority of business hours","Everyday, a few hours","RPG, Strat.",A mouse,it's a mouse.,Mouse buttons,It's a mouse.,I have no idea. Voice?,Show the hand grabbing the object or tempting too like a claw machine to see where we're messing up. Allow a zoom in feature.,aGAsQzB2vbenXsJbb5OQ2MjeVj33,-MKrHiHKeRpJ8JU8VG_m,drag,press/release,drag-press/release
35,6,5,5,3,5,5,5,5,5,4,5,Neither agree/nor disagree,4,Neither agree/nor disagree,4,Somewhat agree,4,"It was a little hard to visualize in 3D for me, so maybe something that makes that easier. I think sometimes the various views confused me. ",Somewhat agree,Could use some combination of arrow keys or W/A/S/D etc maybe. ,Somewhat disagree,Somewhat agree,I'm not sure! ,Neither agree/nor disagree,56,Female,"Everyday, during a majority of business hours","Everyday, less than an hour","Zelda:BOTW, Animal Crossing, Candy Crush Soda",A mouse,I use en ergonomic vertical mouse. ,Mouse buttons,Ergonomic Vertical Mouse (Evoluent). ,Maybe some keyboard controls in addition to mouse control. ,I can't think of any. ,IlMCksaJOdbyz7oo3C2pYmZ9Axp1,-MKqYirUm-zMB-iJzY0q,target,click,target-click
36,6,4,6,1,2,1,3,5,5,3,2,Neither agree/nor disagree,4,Somewhat agree,6,Somewhat agree,3,The angle which the robot grasps needs to be improved. ,Somewhat agree,The only confusion I had was with the turning of the hand for the grasp. ,Neither agree/nor disagree,Strongly agree,The item that was being grasped needed to be displayed better. ,Neither agree/nor disagree,45,Female,"Everyday, during a majority of business hours","Everyday, a few hours","RPG, simulation, city building",A mouse," I use a wireless mouse, simple point and click.",Mouse buttons,"Again, I use a wireless mouse, simple point and click.",I have no comments on better accessibility. ,Just focus on the rotation of the hand and make the item easier to see and identify top vs side.,y720yhwpWOZCiGzRRywDPIVcFLJ2,-MKv0DZcitZqkgTdPdi4,target,click,target-click
37,6,6,6,3,6,6,7,6,4,2,5,Neither agree/nor disagree,3,Somewhat agree,2,Neither agree/nor disagree,5,Maybe highlight which view would be easiest to work from relevant to the position you need to grab the object from. ,Somewhat agree,Maybe slow down the rotation of the circles and hands. If this was a real robot I probably would've broken something./,Somewhat agree,Somewhat disagree,Not sure exactly how this could be improved.,Somewhat disagree,31,Male,"Everyday, during a majority of business hours","Everyday, a few hours","MOBA, FPS shooters, Action/adventure RPGs",A mouse,gaming mouse with high DPI,Keyboard,mechanical keyboard,Add in visual instruction during the use of the robot.,n/a,Um1XGnRxhQM8wyzR2IFQDejpiNx2,-MKqXeLwqsqCl9I_TQ8e,arrow,press/release,arrow-press/release
38,5,5,6,2,1,2,1,4,2,2,4,Somewhat disagree,5,Somewhat disagree,5,Somewhat agree,3,I think adding some arrows instead of just the colors to show what the different colors and clicking on different spaces would be really helpful.  I was able to figure it out with trial and error but adding arrows probably would have helped me figure everything out faster.,Somewhat disagree,I think it might be faster if somehow all the movement of different planes could be combined into one control view.  I felt like I was often switching between control views to get the arm to do what I wanted it to do.,Somewhat disagree,Strongly agree,"I only noticed one error in the last task, where it seemed like I did something that should have moved the arm only a little and instead it totally changed position.  Maybe making sure that each click or slight movement of the interface only moves the arm a small amount would reduce the possibility of that happening.",Strongly agree,47,Female,"Everyday, during a majority of business hours",Rarely,Mostly I play Solitaire on my computer and play Skyrim on an Xbox.,A mouse,"I'm just using a regular mouse with a desktop computer, nothing special",Mouse buttons,"I think I was just left clicking with the mouse button and moving the mouse like usual, nothing special or out of the ordinary.","I felt like overall it was easy to access using my mouse, though it did take some clicking between the different control views.  I think combining all control views into a single space so there's less clicking back and forth might make it a little more accessible.",I think having the view panels be larger would have helped.  I was using a very large desktop monitor and still feel like having larger view panels might have made the task a bit easier.  that would also allow fitting some arrows in to show how to make the arm move in different ways and make it more intuitive.,2B7umwtHMkZwc0MEKrqWvXO7eIs2,-MKuyh_mavR-hzn7OCFb,drag,press/release,drag-press/release
39,6,3,6,2,1,2,3,4,2,1,5,Strongly agree,6,Strongly agree,6,Strongly agree,2,Red/green/blue arches to indicate rotation control,Strongly agree,Use the scroll wheel either to control rotation or the third axis.  Change view AND grab the controls in one click instead of two.,Somewhat disagree,Somewhat agree,Can't think of any.,Neither agree/nor disagree,55,Male,"Everyday, during a majority of business hours","Everyday, a few hours","Second Life, sudoku",A mouse,"Standard mouse, and fairly cheap one.",Mouse buttons,"Standard mouse, and fairly cheap one",Not familiar with such devices for computer use.  Maybe ability to change background color etc. for vision impairment ,Can't think of any.,wL0S8wieOFalAxcapWoc0EBsAap1,-MKv210mhWOyJCFNBE_j,drag,press/release,drag-press/release
40,5,6,7,6,6,6,7,7,3,3,7,Somewhat agree,6,Somewhat agree,1,Strongly agree,5,I believe common sense and understanding natural movement was extremely important as it allowed for me to visualize the movement of the arm and the grasping of the object. ,Somewhat agree,"ensuring there is a reminder of what the blue and red line, what it means when the blue or red line are moved, the movement will be dependent on the position of the blur or red and green. I forgot about the green line. ",Neither agree/nor disagree,Somewhat disagree,once It was stuck or it was placed in a unfavorable position I needed to reset the entire arm to ensure I could see where I was moving the arm. ,Somewhat disagree,32,Female,"Everyday, during a majority of business hours",Rarely,"I do not place computer games, only when my child wants to play the bakery or restaurant games where we have to cook and serve the food. ",A mouse,"my mouse is really sensitive meaning that any sudden movement made the lines move incredibly fast, I had to ensure I was moving the mouse  purposefully. ",Mouse buttons,N/A i have no issues with clicking. ,"making the movement of the arm more fluid and less rigid and strenuous, there were moments I wanted to reach into the screen and move arm by a hair. the movement of the direction of the lines was also volatile, the curser movement if not careful would make the lines move incredibly fast. ",just fluid movement allowing the feeling of control. ,J1CtfF2mT0WQkW84lRfxR44miy73,-MKuzdHI7FSsoAhEiY-r,targetdrag,click,targetdrag-click
41,5,2,4,1,2,2,2,6,2,2,4,Somewhat agree,6,Somewhat agree,6,Strongly agree,4,I'm not sure because I think it is already intuitive.,Somewhat agree,Rotate with arrow keys.,Somewhat disagree,Strongly agree,I'm not sure.,Neither agree/nor disagree,34,Male,"Everyday, during a majority of business hours","Everyday, less than an hour","FPS, RPG, Action, Strategy, and card games.",A mouse,,Mouse buttons,,I'm not sure.,I don't know.,YY2m8uMPXLVrnLpYHqi4XNklDpK2,-MKuzbj8ZXntiixGhKXf,drag,press/release,drag-press/release
42,1,1,1,1,1,1,1,1,2,2,1,Strongly agree,6,Strongly agree,7,Strongly agree,2,"Personally I'd add radial draggy bars to a single thing and let the user rotate/move the arm from a single interface instead of having to swap between three different ones. Would be more complex visually but plenty of video-games do that and it works fine. Could even just have it as an ""Advanced user"" option so people could swap between based on their preference.",Strongly agree,"Not sure, maybe make it so I don't have to double click to change to different window each time. Could also make it so if the arm is going to go into an invalid location it just doesn't let me drag it there and has a hard limit.",Strongly disagree,Strongly agree,Didn't really run into any so can't advice.,Neither agree/nor disagree,36,Male,"Everyday, during a majority of business hours","Everyday, a few hours","FPS, Strategy, Simulation, Logic/Programming.",A mouse,,Mouse buttons,,"I have no idea, I've never used an 'assistive device' so I can't advice on that.","Nothing I can think of really, I was able to get the target most times within a few seconds so it's pretty good as is.",pcMg8WKS6URz0dgOT61fIS2x2jg1,-MKqgVaL12rIBEWlPFKD,arrow,press/release,arrow-press/release
43,6,6,6,6,5,5,5,6,3,3,5,Somewhat agree,3,Somewhat agree,3,Somewhat agree,6,"There could have been a label stating which part of the robot we were looking at (ie., top down view, side view).",Somewhat agree,I cannot think of any way.,Somewhat disagree,Somewhat agree,There could have been an undo button instead of a hard reset feature.,Somewhat agree,24,Male,"Everyday, during a majority of business hours","Everyday, a few hours","fps, mobas",A mouse,,Mouse buttons,,I cannot think of a way.,n/a,UxuVLg75x0WUMQCAIlY74swWIJ73,-MKqb2QYB5ET6g3R4d-J,drag,press/release,drag-press/release
44,6,5,6,2,2,2,5,2,3,3,5,Somewhat agree,5,Somewhat agree,5,Somewhat agree,4,Some of the camera views were hard to use and the program itself was a bit laggy.,Somewhat agree,More responsiveness.,Somewhat agree,Strongly agree,Improve responsiveness and better / more camera angles. A first person view would have helped a lot.,Somewhat disagree,34,Male,"Everyday, a few hours","Everyday, a few hours","Third-person action, mmorpg, first-person shooter.",A mouse,,Mouse buttons,,Give onscreen information about the controls and how the robot will move.,"Give better indicators of what exactly your clicks will do, maybe a ghost image showing where the robot arm will move to when you click.",t3OaZ1oQaoUvi198ajJgP1LIn0J3,-MKxVusWxfdKy6fB8p4X,targetdrag,click,targetdrag-click
45,5,5,5,3,2,2,4,4,3,3,6,Neither agree/nor disagree,3,Somewhat agree,3,Somewhat agree,5,"Instead of point and click, using the keyboard to rotate and move the arm.",Neither agree/nor disagree,Have real-time controls using the keyboard.,Somewhat agree,Somewhat disagree,Have real-time controls using the keyboard or prevent movements that are wrong.,Neither agree/nor disagree,37,Male,"Everyday, during a majority of business hours","Everyday, less than an hour","RPG, strategy, action adventure",A mouse,I am using a standard mouse with a wheel,Mouse buttons,The mouse has two buttons.,Use a keyboard,N/A,ktIq9TeNHXQ2XNhYaXE9jsevIAT2,-MKrRAY8A7WynOuB6g4x,targetdrag,click,targetdrag-click
46,7,7,7,7,7,7,7,1,4,4,7,Strongly disagree,1,Strongly disagree,1,Strongly disagree,7,some better angles or free control of the arm xyz. ,Strongly disagree,clicking to move and change which camera was not good,Strongly agree,Strongly disagree,i have no idea but sometimes the xyz color bars would expand and fill the screen i had to reset the arm when that occured.,Neither agree/nor disagree,34,Male,"Everyday, during a majority of business hours","Everyday, a few hours",mmorpg,A mouse,,Mouse buttons,,i have no idea as i do not require such a device,,Yf8xLeMycFOIOKlLUy0L9RVe0O12,-MKqsL3tI62b04sjW4bZ,targetdrag,click,targetdrag-click
47,1,4,3,1,1,1,3,5,3,2,2,Neither agree/nor disagree,6,Somewhat disagree,4,Somewhat agree,5,More angle options should be added for smaller increments,Neither agree/nor disagree,More angle options should be added for smaller increments,Somewhat disagree,Somewhat agree,"The Reset option is nice, maybe an UNDO option to return to previous move set.",Neither agree/nor disagree,30,Male,"Everyday, during a majority of business hours",Once or twice a week,Mostly play First Person Competitive Shooters.,Other,I am using a Trackball at the moment. Logitech MX Ergo,Mouse buttons,,,,R4tEQsJDbVe4AfN8KEPmtmPfqi53,-MKuwpo4lWuEgi2CywLc,target,click,target-click
48,6,6,5,7,6,5,6,2,2,2,6,Somewhat agree,5,Strongly agree,5,Strongly agree,3,Give me the ability to look around the object or move a camera around it so I can see where I'm positioning the arm,Strongly agree,Make it more responsive ,Somewhat disagree,Strongly agree,No real way to improve it further then it already is ,Somewhat agree,25,Female,"Everyday, during a majority of business hours","Everyday, a few hours",MMORPG,A mouse,,Mouse buttons,,,,hJuph4ZspqdtmRK063jo0SOFH3R2,-MKqYclol-UMoGH00PPy,panel,press/release,panel-press/release
49,6,5,7,4,4,5,7,6,5,5,6,Somewhat disagree,3,Somewhat disagree,3,Somewhat disagree,4,Maybe a free floating camera to help with perpesctive,Neither agree/nor disagree,Maybe use a slider to determine degree instead of free mouse spin,Somewhat agree,Somewhat disagree,An undo button for each movement,Strongly disagree,32,Male,"Everyday, during a majority of business hours","Everyday, less than an hour",Rpg and simulation,A mouse,"Nothing special, basic mouse.",Mouse buttons,Nothing special just basic mouse click buttons,Use more static sliders instead of free mouse movement.,,1ld3U2ihvNhPXkO5RqFvTBVaxfC3,-MKuzs3KeyMCwrPKj20G,targetdrag,click,targetdrag-click
50,4,4,3,1,1,1,1,1,2,2,7,Somewhat agree,7,Somewhat agree,7,Somewhat agree,2,Label the views,Somewhat agree,Color of the circle that allows rotation of the hand,Somewhat disagree,Somewhat disagree,Do not allow the hand to move any further when it is going to create an error,Neither agree/nor disagree,40,Male,"Everyday, during a majority of business hours",Once or twice a week,Action adventure,A mouse,,Mouse buttons,,,,7tRDSVddXRbtmAMy9gpDil2oXrL2,-MKuzIe5I1z1NRchoN9V,arrow,press/release,arrow-press/release
51,5,3,4,2,3,1,1,4,1,1,3,Strongly agree,7,Strongly agree,7,Strongly agree,1,"Guide arrows or distances to the object could be placed in, to give the user a sense of how far away the object really is when two of the views look close but the other is nowhere near.",Strongly agree,It seemed to be efficient to me.,Strongly disagree,Strongly agree,"I didn't notice any errors, but I noticed that when I extended beyond the robot's reach that I was able to easily click back in bounds to regain the location.",Strongly agree,37,Male,"Everyday, during a majority of business hours","Everyday, less than an hour","puzzle, adventure, action",A mouse,,Mouse buttons,,A rotating view of the robot in 3D space could help contextualize what each of the three controllable views see.,A different color tint to the displays or objects in the background could help people who don't make the mental connection between the three controllable views.,sM6PHnBsGbT4whBx0g925vJzhvy1,-MKvO6dc8bk5f7I4XTjJ,target,click,target-click
52,7,7,6,4,7,6,2,3,3,4,6,Somewhat disagree,3,Somewhat agree,4,Somewhat disagree,5,"I don't know.  Sometimes when I tried to rotate the hand, it's started spazzing and I didn't understand why.",Somewhat disagree,"It might not be possible, but being able to use only one view for everything would be the most efficient way to control a robot.",Somewhat agree,Somewhat disagree,I don't know.  It would be nice if the arm could always turn smoothly instead of getting jumpy when I tried to rotate the hand.,Neither agree/nor disagree,36,Male,"Everyday, a few hours",Once or twice a week,"poker, tetris",A mouse,regular computer mouse.,Mouse buttons,regular mouse buttons on the left and right.,What would the assistive device be?  I think it would be more accessible my merging the views into one view to control everything.,I don't know.,Be4CXf88XagJCm6KT7GsumaKIOf2,-MKv-QfRABJEpNXOCrvZ,arrow,press/release,arrow-press/release
53,5,6,4,6,4,5,3,6,3,5,4,Somewhat agree,5,Neither agree/nor disagree,6,Somewhat agree,5,None,Neither agree/nor disagree,Nothing,Somewhat agree,Neither agree/nor disagree,I have no idea.,Neither agree/nor disagree,28,Female,"Everyday, during a majority of business hours","Everyday, a few hours",Call of Duty,A mouse,None,Mouse buttons,None,Its accessibility is as it is good.,No improvement needed.,2BD2dj1LR4RyLPoaeS2o72DBiaB3,-MKwlYbSSKegT5WICFRm,panel,press/release,panel-press/release
54,6,6,6,2,2,3,1,1,5,6,6,Somewhat disagree,2,Somewhat disagree,3,Somewhat disagree,5,"I'm not really sure, honestly. It just didn't feel that intuitive to have three different perspectives for the control. It might have been better to have a way to just shift the perspective and be able to control the arm's movement in the same way instead of having it spread over three different locked viewing angles.",Somewhat disagree,"The only suggestion I have is what I mentioned above, in letting the user shift the perspective instead of locking in to three different views.",Strongly disagree,Somewhat agree,"The ""reset"" function worked pretty well, so I can't think of any good ways to help reduce errors.",Somewhat disagree,38,Male,"Everyday, during a majority of business hours",Once or twice a week,"puzzle games, retro side-scrollers",A mouse,"I use the mouse most often, but I also use the command-line interface when I am able to.",Mouse buttons,Nothing more to add here.,"I'm not sure about this. I am not familiar with what kinds of assistive devices are out there, but maybe allowing for keyboard control of the arm and the perspective changes would be helpful.",I can't think of any other improvements.,rZe9z0KPKfQeEX016aU3WkCco153,-MKv-O9MJLYe2UqK8z6G,arrow,press/release,arrow-press/release
55,3,3,3,1,1,2,1,3,1,1,2,Somewhat agree,6,Strongly agree,7,Strongly agree,2,I don't have any ideas,Somewhat agree,Maybe options to rotate a certain amount of degrees,Strongly disagree,Somewhat disagree,"I don't know but multiple times the robot arm was moving on its own, downwards ",Neither agree/nor disagree,34,Female,"Everyday, a few hours","Everyday, less than an hour",MMOs,A mouse,,Mouse buttons,,,,ziLm9NEdJWQBLmqKsswNbsoGFSj2,-MKv8QNpEEBH4j_y5dia,panel,press/release,panel-press/release
56,7,7,7,4,6,7,6,6,3,4,7,Strongly disagree,1,Strongly disagree,1,Neither agree/nor disagree,7,The controls were very jumpy when trying to get angles and the axis just spun around and made it very hard to get it placed.,Strongly disagree,"Keyboard control of the axis, trying to get a few pixels to move sometimes spun the entire interface.",Strongly agree,Strongly disagree,"More refined movement, some of it was very, very jumpy.",Neither agree/nor disagree,39,Male,"Everyday, during a majority of business hours","Everyday, a few hours","MMORPGs, FPS, Strategy, RTS",A mouse,It's a gaming mouse with many buttons and DPI resolution inputs.,Mouse buttons,Mouse has easy touch buttons that require almost no physical effort to engage.,"I have no idea, I'm not used to accessibility controls.",Arrow controls on the side so you can fine tune movements instead of relying on the mouse to spin the arm on an axis hoping it cooperates.,5SzbbnAWq5SbbxIZMDdaoEraNWp1,-MKuyAr07UFde9nXFhzg,targetdrag,click,targetdrag-click
57,3,2,3,6,5,6,2,2,2,2,4,Somewhat disagree,2,Somewhat agree,3,Strongly agree,5,If you work with 3d systems such as autodesk etc it works well. Not too complicated.,Strongly disagree,Arm/ hand tend to shutter when gettting too close to the robot body. Looks like some kind of glitchy thing with the model.,Somewhat agree,Somewhat agree,Looks like the target was in awkward position and hard to see in any of the display viewers. Sometimes target appears hidden or almost hidden under the robot body.,Somewhat agree,56,Male,"Everyday, during a majority of business hours",Once or twice a week,"first person shooters, platform. 3 person shooters games.etc",A mouse,None,Mouse buttons,none,none,Just making the movements of the arm and clipper hand more fluid. It tends to wobble about when you move it in odd positions.,1pGP3Ti9OSSQ7ZzKEc5GcuHgyYg1,-MKv0lVkm6fOQI7kbqHM,arrow,press/release,arrow-press/release
58,7,7,7,7,7,7,7,4,2,2,7,Neither agree/nor disagree,4,Neither agree/nor disagree,4,Somewhat disagree,3,I think there could be some tips to help.,Neither agree/nor disagree,I think it could improve the interface to make it faster control of the robot hand.,Somewhat disagree,Somewhat agree,there could be some advises.,Somewhat agree,38,Female,"Everyday, during a majority of business hours","Everyday, a few hours",adventure,A trackpad,I just use keyboard and trackpad from Apple.,Trackpad buttons,N/A,I am not sure.,I am not sure.,LwUMWawSD4Uz0uaPOr77bofpbBK2,-MKvKPm1PbqP7Me8NExg,targetdrag,click,targetdrag-click
59,1,1,1,1,1,1,1,7,1,1,1,Neither agree/nor disagree,7,Strongly agree,7,Strongly agree,1,No idea.,Neither agree/nor disagree,No idea.,Strongly disagree,Strongly disagree,Stop forcing the arm flailing into position.,Neither agree/nor disagree,34,Male,"Everyday, during a majority of business hours","Everyday, a few hours",All types.,A mouse,,Mouse buttons,,No idea.,No idea.  I'm not the target audience.  You should be asking people who would actually need this accessibility.  Go for the lowest common denominator when asking.,9xnBqt22OPcQnpS175UslVPl4Od2,-MKqhhzJStrSacr3mDpL,drag,press/release,drag-press/release
60,6,5,6,3,5,3,4,3,3,6,6,Somewhat agree,2,Strongly agree,2,Somewhat agree,3,Easier control methods,Somewhat agree,Being able to rotate and move at the same time,Somewhat disagree,Somewhat agree,Reducing the ability to perform an invalid position,Somewhat agree,32,Male,"Everyday, during a majority of business hours",Once or twice a week,MMORPG,A mouse,,Mouse buttons,,Being able to use the mouse wheel,None,pp2sUL9W9tbyhU5pcd3BfaF6qgZ2,-MKuw4wJu_2w_GPfV7th,arrow,press/release,arrow-press/release
61,6,6,5,2,4,5,4,3,5,4,5,Neither agree/nor disagree,5,Somewhat agree,5,Somewhat agree,5,it could be more colorful,Somewhat agree,it was hard to see sometimes,Somewhat disagree,Neither agree/nor disagree,rotating view,Somewhat agree,52,Male,"Everyday, during a majority of business hours",Once or twice a week,fps,A mouse,,Mouse buttons,,more instruction,,Ck7TF84oJzY86wW62d0Rt0vpb933,-MKuza2ci005vaq_Dnp5,arrow,press/release,arrow-press/release
62,4,2,2,1,2,2,5,3,2,2,3,Somewhat agree,5,Strongly agree,5,Somewhat agree,2,Physical button interface for movement around various axes instead of a screen interface from different views,Somewhat agree,Quick controls to rotate 90 degrees in various views,Somewhat disagree,Somewhat agree,I didn't encounter errors,Neither agree/nor disagree,38,Male,"Everyday, during a majority of business hours","Everyday, a few hours","Action, fighting, casual, puzzle",A mouse,Just a simple mouse,Mouse buttons,Just a regular mouse,I have no suggestions,It was satisfactory enough to get the job done,NHCS0h08fqQSZZr3kPxQPnv1GAx2,-MKv5_sCP9N2fg2CJS5_,drag,press/release,drag-press/release
